   0.25 MiB	deepin-desktop-schemas                  	GSettings deepin desktop-wide schemas
   0.25 MiB	xorg-xkbcomp                            	X Keyboard description compiler
   0.26 MiB	rtmpdump                                	Tool to download rtmp streams
   0.27 MiB	exfat-utils                             	Utilities for exFAT file system
   0.27 MiB	lesspipe                                	an input filter for the pager less
   0.27 MiB	xorg-x11perf                            	Simple X server performance benchmarker
   0.28 MiB	neofetch                                	A CLI system information tool written in BASH that supports displaying images.
   0.29 MiB	gtk-engine-murrine                      	GTK2 engine to make your desktop look like a 'murrina', an italian word meaning the art glass works done by Venicians glass blowers.
   0.30 MiB	unrar                                   	The RAR uncompression program
   0.31 MiB	python-neovim                           	Python client for Neovim
   0.32 MiB	chafa                                   	Image-to-text converter supporting a wide range of symbols and palettes, transparency, animations, etc.
   0.34 MiB	atomicparsley                           	A command line program for reading, parsing and setting iTunes-style metadata in MPEG4 files
   0.34 MiB	deepin-network-utils                    	DDE network utils
   0.34 MiB	unzip                                   	For extracting and viewing files in .zip archives
   0.39 MiB	deepin-qt5dxcb-plugin                   	Qt platform plugins for DDE
   0.44 MiB	otf-fantasque-sans-mono                 	OTF font family with a great monospaced variant for programmers
   0.46 MiB	pacutils                                	Helper tools for libalpm
   0.48 MiB	imagemagick                             	An image viewing/manipulation program
   0.50 MiB	feh                                     	Fast and light imlib2-based image viewer
   0.52 MiB	deepin-anything                         	Deepin Anything file search tool
   0.55 MiB	rsync                                   	A file transfer program to keep remote files in sync
   0.60 MiB	tmux                                    	A terminal multiplexer
   0.72 MiB	dnsmasq                                 	Lightweight, easy to configure DNS forwarder and DHCP server
   0.78 MiB	ufw                                     	Uncomplicated and easy to use CLI tool for managing a netfilter firewall
   0.79 MiB	cpio                                    	A tool to copy files into or out of a cpio or tar archive
   0.82 MiB	xorg-docs                               	X.org documentations
   0.93 MiB	deepin-screensaver                      	Deepin screensaver viewer and tools
   0.96 MiB	deepin-calculator                       	An easy to use calculator for ordinary users
   1.04 MiB	ttf-anonymous-pro                       	A family of four fixed-width fonts designed especially with coding in mind
   1.05 MiB	terminus-font                           	Monospace bitmap font (for X11 and console)
   1.11 MiB	iwd                                     	Internet Wireless Daemon
   1.12 MiB	ttf-fira-code                           	Monospaced font with programming ligatures
   1.16 MiB	deepin-screenshot                       	Easy-to-use screenshot tool for linuxdeepin desktop environment
   1.17 MiB	deepin-qt5integration                   	Qt platform theme integration plugins for DDE
   1.17 MiB	gtk-engines                             	Theme engines for GTK+ 2
   1.21 MiB	ttf-hack                                	A hand groomed and optically balanced typeface based on Bitstream Vera Mono.
   1.22 MiB	deepin-system-monitor                   	A more user-friendly system monitor
   1.22 MiB	libcaca                                 	Color AsCii Art library
   1.25 MiB	xorg-server-devel                       	Development files for the X.Org X server
   1.40 MiB	xorg-server-xnest                       	A nested X server that runs as an X application
   1.42 MiB	deepin-account-faces                    	Account faces for Linux Deepin
   1.53 MiB	deepin-launcher                         	Deepin desktop-environment - Launcher module
   1.67 MiB	intel-ucode                             	Microcode update files for Intel CPUs
   1.84 MiB	xorg-server-xvfb                        	Virtual framebuffer X server
   1.89 MiB	w3m                                     	Text-based Web browser as well as pager
   1.89 MiB	xorg-server-xdmx                        	Distributed Multihead X Server and utilities
   2.10 MiB	xorg-server-xwayland                    	run X clients under wayland
   2.14 MiB	adobe-source-code-pro-fonts             	Monospaced font family for user interface and coding environments
   2.18 MiB	xorg-server-xephyr                      	A nested X server that runs as an X application
   2.22 MiB	adobe-source-serif-pro-fonts            	Serif typeface for setting text. Designed to complement Source Sans Pro
   2.23 MiB	xf86-video-intel                        	X.org Intel i810/i830/i915/945G/G965+ video drivers
   2.35 MiB	fd                                      	Simple, fast and user-friendly alternative to find
   2.61 MiB	adobe-source-sans-pro-fonts             	Sans serif font family for user interface environments
   2.67 MiB	ttf-carlito                             	Googles Carlito font
   2.70 MiB	otf-overpass                            	An open source font family inspired by Highway Gothic esp. suited for signs, lettering and web sites
   2.74 MiB	ttf-opensans                            	Sans-serif typeface commissioned by Google
   2.74 MiB	vulkan-radeon                           	Radeon's Vulkan mesa driver
   2.79 MiB	dhclient                                	A standalone DHCP client from the dhcp package
   2.81 MiB	wget                                    	Network utility to retrieve files from the Web
   3.14 MiB	deepin-dock                             	Deepin desktop-environment - dock module
   3.33 MiB	fzf                                     	Command-line fuzzy finder
   3.53 MiB	deepin-gtk-theme                        	Deepin GTK Theme
   3.62 MiB	xorg-server                             	Xorg X server
   3.89 MiB	pango                                   	A library for layout and rendering of text
   3.95 MiB	ttf-ubuntu-font-family                  	Ubuntu font family
   4.17 MiB	refind-efi                              	Rod Smith's fork of rEFIt UEFI Boot Manager - Built with Tianocore EDK2 libs
   4.34 MiB	fortune-mod                             	The Fortune Cookie Program from BSD games
   4.41 MiB	materia-gtk-theme                       	A Material Design theme for GNOME/GTK+ based desktop environments
   4.41 MiB	veracrypt                               	Disk encryption with strong security based on TrueCrypt
   4.49 MiB	btrfs-progs                             	Btrfs filesystem utilities
   4.60 MiB	mpv                                     	a free, open source, and cross-platform media player
   4.60 MiB	ripgrep                                 	A search tool that combines the usability of ag with the raw speed of grep
   4.65 MiB	openssh                                 	Premier connectivity tool for remote login with the SSH protocol
   4.74 MiB	bat                                     	Cat clone with syntax highlighting and git integration
   4.79 MiB	deepin-sound-theme                      	Deepin sound theme
   5.18 MiB	ttf-roboto                              	Google's signature family of fonts
   5.21 MiB	bluez-utils                             	Development and debugging utilities for the bluetooth protocol stack
   5.41 MiB	deepin-image-viewer                     	Deepin Image Viewer
   5.43 MiB	librsvg                                 	SVG rendering library
   5.56 MiB	alacritty                               	A cross-platform, GPU-accelerated terminal emulator
   5.75 MiB	ttf-croscore                            	Chrome OS core fonts
   6.11 MiB	libva-mesa-driver                       	VA-API implementation for gallium
   6.26 MiB	p7zip                                   	Command-line file archiver with high compression ratio
   6.42 MiB	mesa-vdpau                              	Mesa VDPAU drivers
   7.44 MiB	noto-fonts-emoji                        	Google Noto emoji fonts
   8.76 MiB	gucharmap                               	Gnome Unicode Charmap
   9.26 MiB	awesome                                 	Highly configurable framework window manager
   9.75 MiB	ttf-dejavu                              	Font family based on the Bitstream Vera Fonts with a wider range of characters
  10.01 MiB	deepin-session-ui                       	Deepin desktop-environment - Session UI module
  10.04 MiB	gnome-icon-theme                        	GNOME icon theme
  10.26 MiB	fish                                    	Smart and user friendly shell intended mostly for interactive use
  10.42 MiB	openmpi                                 	High performance message passing library (MPI)
  10.67 MiB	xorg-fonts-75dpi                        	X.org 75dpi fonts
  11.36 MiB	ttf-lato                                	A sanserif typeface family bearing the Polish name of "Summer"
  12.27 MiB	xorg-fonts-100dpi                       	X.org 100dpi fonts
  12.47 MiB	youtube-dl                              	A small command-line program to download videos from YouTube.com and a few more sites
  12.76 MiB	openjpeg2                               	An open source JPEG 2000 codec, version 2.3.0
  12.94 MiB	deepin-control-center                   	New control center for linux deepin
  13.23 MiB	keepassxc                               	Cross-platform community-driven port of Keepass password manager
  14.29 MiB	networkmanager                          	Network connection manager and user applications
  15.66 MiB	deepin-file-manager                     	Deepin File Manager
  15.84 MiB	startdde                                	starter of deepin desktop environment
  16.51 MiB	sublime-merge                           	Sublime Merge is a most excellent git client
  19.56 MiB	neovim                                  	Fork of Vim aiming to improve user experience, plugins, and GUIs
  20.97 MiB	deepin-community-wallpapers             	Community wallpapers for DDE
  24.95 MiB	python-pycryptodome                     	Collection of cryptographic algorithms and protocols, implemented for use from Python 3.
  26.24 MiB	qemu                                    	A generic and open source machine emulator and virtualizer
  27.07 MiB	gcc-fortran                             	Fortran front-end for GCC
  28.37 MiB	intel-media-driver                      	Intel Media Driver for VAAPI — Broadwell+ iGPUs
  30.23 MiB	deepin-wallpapers                       	Default wallpapers for DDE
