   0.79 MiB	cpio                                    	A tool to copy files into or out of a cpio or tar archive
   0.82 MiB	bash-completion                         	Programmable completion for the bash shell
   0.82 MiB	xorg-docs                               	X.org documentations
   0.87 MiB	gnome-screenshot                        	Take pictures of your screen
   0.89 MiB	gnome-shell-extensions                  	Extensions for GNOME shell, including classic mode
   1.00 MiB	openmp                                  	LLVM OpenMP Runtime Library
   1.05 MiB	terminus-font                           	Monospace bitmap font (for X11 and console)
   1.12 MiB	ttf-fira-code                           	Monospaced font with programming ligatures
   1.17 MiB	gnome-tweaks                            	Graphical interface for advanced GNOME 3 settings (Tweak Tool)
   1.19 MiB	docker-compose                          	Fast, isolated development environments using Docker
   1.21 MiB	ttf-hack                                	A hand groomed and optically balanced typeface based on Bitstream Vera Mono.
   1.22 MiB	libcaca                                 	Color AsCii Art library
   1.25 MiB	xorg-server-devel                       	Development files for the X.Org X server
   1.28 MiB	gnome-clocks                            	Clocks applications for GNOME
   1.30 MiB	gnome-session                           	The GNOME Session Handler
   1.32 MiB	gnome-logs                              	A log viewer for the systemd journal
   1.40 MiB	xorg-server-xnest                       	A nested X server that runs as an X application
   1.56 MiB	iwd                                     	Internet Wireless Daemon
   1.84 MiB	xorg-server-xvfb                        	Virtual framebuffer X server
   1.89 MiB	xorg-server-xdmx                        	Distributed Multihead X Server and utilities
   2.02 MiB	w3m                                     	Text-based Web browser as well as pager
   2.10 MiB	xorg-server-xwayland                    	run X clients under wayland
   2.14 MiB	adobe-source-code-pro-fonts             	Monospaced font family for user interface and coding environments
   2.18 MiB	xorg-server-xephyr                      	A nested X server that runs as an X application
   2.22 MiB	adobe-source-serif-pro-fonts            	Serif typeface for setting text. Designed to complement Source Sans Pro
   2.23 MiB	xf86-video-intel                        	X.org Intel i810/i830/i915/945G/G965+ video drivers
   2.35 MiB	fd                                      	Simple, fast and user-friendly alternative to find
   2.46 MiB	intel-ucode                             	Microcode update files for Intel CPUs
   2.55 MiB	dconf-editor                            	dconf Editor
   2.61 MiB	adobe-source-sans-pro-fonts             	Sans serif font family for user interface environments
   2.67 MiB	ttf-carlito                             	Googles Carlito font
   2.70 MiB	otf-overpass                            	An open source font family inspired by Highway Gothic esp. suited for signs, lettering and web sites
   2.74 MiB	ttf-opensans                            	Sans-serif typeface commissioned by Google
   2.74 MiB	vulkan-radeon                           	Radeon's Vulkan mesa driver
   2.79 MiB	dhclient                                	A standalone DHCP client from the dhcp package
   3.22 MiB	wget                                    	Network utility to retrieve files from the Web
   3.54 MiB	fzf                                     	Command-line fuzzy finder
   3.62 MiB	xorg-server                             	Xorg X server
   3.74 MiB	file-roller                             	Create and modify archives
   3.89 MiB	pango                                   	A library for layout and rendering of text
   3.95 MiB	ttf-ubuntu-font-family                  	Ubuntu font family
   4.24 MiB	gnome-keyring                           	Stores passwords and encryption keys
   4.34 MiB	fortune-mod                             	The Fortune Cookie Program from BSD games
   4.49 MiB	mpv                                     	a free, open source, and cross-platform media player
   4.68 MiB	ripgrep                                 	A search tool that combines the usability of ag with the raw speed of grep
   4.74 MiB	bat                                     	Cat clone with syntax highlighting and git integration
   4.74 MiB	openssh                                 	Premier connectivity tool for remote login with the SSH protocol
   4.80 MiB	gnome-settings-daemon                   	GNOME Settings Daemon
   5.09 MiB	qt5-wayland                             	Provides APIs for Wayland
   5.12 MiB	gnome-calculator                        	GNOME Scientific calculator
   5.52 MiB	alacritty                               	A cross-platform, GPU-accelerated terminal emulator
   5.61 MiB	librsvg                                 	SVG rendering library
   5.75 MiB	ttf-croscore                            	Chrome OS core fonts
   6.11 MiB	libva-mesa-driver                       	VA-API implementation for gallium
   6.26 MiB	p7zip                                   	Command-line file archiver with high compression ratio
   6.42 MiB	mesa-vdpau                              	Mesa VDPAU drivers
   6.78 MiB	tracker                                 	Desktop-neutral user information store, search tool and indexer
   7.40 MiB	arc-solid-gtk-theme                     	A flat theme for GTK 3, GTK 2 and Gnome-Shell (without transparency)
   7.41 MiB	arc-gtk-theme                           	A flat theme with transparent elements for GTK 3, GTK 2 and Gnome-Shell
   8.62 MiB	gnome-shell                             	Next generation desktop shell
  10.17 MiB	imagemagick                             	An image viewing/manipulation program
  10.26 MiB	fish                                    	Smart and user friendly shell intended mostly for interactive use
  10.46 MiB	eog                                     	Eye of Gnome: An image viewing and cataloging program
  10.67 MiB	xorg-fonts-75dpi                        	X.org 75dpi fonts
